ID,Place (x),Knowledge (y),Action (z),Country
3297,-0.3125,0.4375,0,USA
3302,-0.25,0,0.625,USA
3508,0.0625,0.0625,-0.3125,USA
3543,-0.625,-0.0625,0.9375,USA
3572,-0.1875,-0.1875,0.625,USA
3576,-0.625,-0.25,-0.5,USA
3579,-0.4375,0.25,0.8125,USA
3580,-0.375,-0.375,0.0625,USA
3581,-0.4375,-0.125,0.8125,USA
3582,-0.125,0.125,0.3125,USA
3587,-0.1875,0.0625,0.5,USA
3588,-0.4375,0,0.625,USA
3590,0,0.1875,0.0625,USA
3592,0.0625,0.625,0.9375,USA
3593,-0.25,0,0.0625,USA
3594,-0.375,0.0625,0.1875,USA
3595,-0.5625,0.1875,0.25,USA
3597,0.1875,-0.125,0.375,USA
3599,-0.375,0.125,0.5625,USA
3601,-0.3125,-0.0625,0.4375,USA
3603,0,0.125,0.25,USA
3608,-0.375,-0.125,0.75,USA
3611,-0.1875,0.25,0.6875,USA
3612,-0.4375,-0.25,0.25,USA
3613,-0.5,0.125,0.9375,USA
3616,-0.0625,0.4375,0.25,USA
3620,-0.4375,-0.0625,0.5625,USA
3622,-0.0625,0,-0.0625,USA
3623,-0.5625,-0.75,0.625,USA
3624,-0.5,0.0625,0.4375,USA
3625,-0.1875,0.0625,0.0625,USA
3633,0.3125,0.1875,-0.25,USA
3636,-0.3125,-0.0625,0.3125,USA
3638,-0.625,-0.25,0.25,USA
3641,-0.3125,0.3125,0.5,USA
3642,-0.1875,-0.1875,0.5625,USA
3645,-0.0625,0.4375,-0.375,USA
3651,-0.375,-0.6875,-0.0625,USA
3652,-0.625,-0.5,0.5,USA
3662,-0.125,0.25,0,USA
3663,-0.6875,0.625,0.5625,USA
3673,-0.375,-0.0625,0.3125,USA
3674,-0.3125,0.375,0.3125,USA
3702,-0.375,-0.3125,-0.1875,USA
3704,-0.375,-0.1875,0.25,USA
3713,-0.3125,-0.125,-0.0625,USA
3722,-0.125,-0.0625,0.5,USA
3723,-0.6875,-0.125,0.1875,USA
3730,-0.5,-0.3125,0.625,USA
3731,-0.25,0.3125,0.6875,USA
3732,-0.5625,0.0625,0.75,USA
3735,-0.5625,0.125,0.3125,USA
3738,-0.375,0,0.1875,USA
3740,-0.375,-0.6875,0.9375,USA
3741,0,-0.0625,0.75,USA
3743,-0.5,0.0625,0.3125,USA
3752,-0.5625,0.0625,0.25,USA
3757,-0.0625,0.125,0.75,USA
3758,-0.3125,-0.625,0.6875,USA
3759,-0.1875,0.1875,0.25,USA
3761,0.0625,0,0.0625,USA
3762,-0.6875,-0.125,0.625,USA
3764,-0.3125,-0.25,0.4375,USA
3775,-0.1875,-0.125,-0.125,USA
3791,-0.125,-0.1875,0.3125,USA
3811,-0.3125,-0.1875,-0.0625,USA
3813,-0.1875,-0.375,-0.25,USA
3815,-0.3125,-0.5625,-0.0625,USA
3819,-0.5,-0.5,0.8125,USA
3828,-0.5,-0.25,0.0625,USA
3829,-0.9375,-0.9375,0.1875,USA
3831,-0.375,-0.4375,0.75,USA
3836,-0.375,0,0.375,USA
3838,-0.1875,-0.0625,0.5,USA
3841,0,0.0625,-0.0625,USA
3842,-0.8125,-0.25,-0.3125,USA
3843,-0.3125,-0.0625,-0.1875,USA
3844,-0.125,0.0625,0.5625,USA
3846,-0.3125,-0.0625,0.5625,USA
3847,-0.4375,0,0.625,USA
3858,-0.375,-0.125,0.4375,USA
3871,-0.25,0.4375,0.375,USA
3881,-0.6875,-0.3125,0.0625,USA
3882,-0.4375,-0.375,0.25,USA
3901,-0.0625,0.4375,0.8125,USA
3921,-0.3125,0.1875,0.1875,USA
4029,-0.25,-0.5625,0.6875,USA
4090,-0.3125,-0.3125,0.375,USA
4143,-0.5625,-0.5625,-0.125,France
4174,-0.4375,-0.875,0.6875,USA
4190,-0.1875,-0.125,0.1875,USA
4245,0.0625,0.0625,0.5625,USA
4352,0.125,0.3125,0.375,USA
4353,-0.6875,-0.6875,0.5,USA
4360,0.0625,-0.0625,0.125,USA
4361,-0.25,-0.3125,-0.0625,USA
4367,-0.1875,-0.0625,0.125,USA
4379,0.5,-0.1875,0.375,USA
4382,0.5,0.25,0.125,USA
4383,-0.1875,-0.6875,0.75,USA
4386,0.375,0.125,0.6875,France
4392,-0.125,0.125,0.5625,USA
4398,-0.625,0.125,0.5625,USA
4400,-0.1875,-0.25,0.3125,USA
4401,0.125,-0.3125,0.4375,USA
4402,-0.625,-0.5,0.6875,USA
4405,0.125,-0.0625,0.25,USA
4413,-0.5,-0.1875,0.875,USA
4416,-0.1875,-0.25,0.375,USA
4418,-0.1875,0.125,0.1875,USA
4420,-0.25,-0.75,0.5,USA
4421,-0.25,0.1875,0.0625,USA
4436,-0.3125,0.1875,0,USA
4448,0.25,0.3125,-0.0625,France
4450,0.25,-0.375,0.3125,USA
4451,-0.5625,0.125,-0.125,USA
4453,-0.3125,-0.3125,0.3125,USA
4456,-0.125,0.125,0.1875,USA
4457,0.1875,-0.25,0.625,USA
4464,-0.375,-0.25,0.1875,USA
4466,-0.125,0.1875,0.5,USA
4473,0,-0.4375,0.375,USA
4478,0.4375,-0.1875,0.8125,USA
4479,0.375,-0.125,0.75,USA
4495,-0.5625,0.1875,0.5625,USA
4506,-0.5625,0.125,0.5625,USA
4509,0.25,0.0625,-0.3125,France
4512,-0.125,0,-0.125,USA
4522,-0.4375,0,0,USA
4531,0.625,0,0.375,USA
4565,-0.4375,-0.1875,0.375,USA
4581,-0.6875,-0.1875,-0.25,USA
4592,0.125,-0.125,0.4375,USA
4594,0,-0.0625,0,France
4595,-0.25,0.0625,-0.4375,France
4598,-0.125,-0.1875,-0.1875,France
4599,-0.125,-0.1875,-0.1875,France
4600,-0.125,0,0.125,France
4603,-0.5,0.125,0.0625,France
4606,-0.1875,0.1875,0.3125,USA
4618,-0.25,0,0.25,France
4619,-0.5,-0.0625,-0.125,France
4620,-0.1875,0.25,-0.3125,France
4624,-0.25,0,-0.1875,France
4626,0.1875,0.0625,-0.3125,France
4627,-0.4375,0.125,-0.1875,France
4628,0.125,0.0625,0.4375,France
4629,0,-0.1875,-0.125,France
4630,-0.375,-0.375,0,France
4635,0,-0.0625,-0.1875,France
4656,0.3125,0.25,0.375,USA
4666,-0.25,0.625,0.25,USA
4670,0,0.0625,0.375,USA
4672,-0.125,-0.125,0.1875,USA
4677,-0.25,0.3125,0.9375,USA
4681,-0.0625,0.125,-0.0625,France
4682,0.1875,0.375,-0.25,France
4683,-0.0625,0.125,0.0625,France
4693,-0.0625,-0.0625,-0.25,France
4696,0.25,0.375,-0.125,France
4700,-0.375,0.125,0.1875,France
4711,0.125,0.625,0.75,USA
4721,0.4375,0.5,-0.1875,France
4722,0.0625,0,-0.3125,France
4728,0.3125,0.4375,-0.1875,France
4736,-0.4375,0,0.125,USA
4739,-0.4375,0.0625,-0.3125,France
4741,0,-0.125,0.3125,France
4742,-0.25,0.0625,-0.125,France
4743,-0.3125,-0.1875,-0.0625,France
4744,0.125,0.125,0,France
4745,0.1875,-0.1875,0.1875,France
4746,-0.5,0.0625,0,France
4748,-0.0625,0.0625,0.3125,France
4749,0,0.125,0.4375,France
4750,0.125,0,-0.0625,France
4751,0,-0.125,-0.125,France
4752,-0.3125,-0.1875,0.1875,France
4753,-0.3125,0,0.0625,France
4754,0,0.75,0,France
4755,-0.3125,-0.3125,-0.1875,France
4756,-0.125,0.0625,0.125,France
4808,-0.0625,0.125,-0.3125,France
4839,-0.375,-0.125,0.625,France
4841,-0.4375,-0.25,0.1875,USA
4862,0.25,-0.125,-0.125,France
4863,-0.4375,-0.125,-0.0625,France
4864,0,0,0.1875,France
4865,0,0.25,0.0625,France
4866,-0.0625,-0.1875,0.375,France
4867,-0.1875,0.1875,0,France
4868,0,0.0625,0,France
4869,-0.375,-0.25,-0.5,France
4870,-0.0625,-0.0625,0.375,France
4873,-0.3125,0.4375,0.1875,France
4874,-0.1875,0.125,-0.3125,France
4875,-0.375,-0.25,-0.125,France
4878,-0.125,0.25,-0.1875,France
4879,0.0625,-0.0625,0,France
4880,0.0625,0.125,0.0625,France
4881,-0.1875,0.375,0.3125,France
4884,0.125,0.25,0.0625,France
4890,0,0.0625,-0.375,France
4900,-0.125,-0.125,0,France
4901,0.1875,0,0.125,France
4902,-0.5,-0.125,0.3125,France
4903,0.3125,0,0.125,France
4906,0.1875,0,0.125,France
4908,0.125,-0.0625,-0.5,France
4909,-0.25,-0.25,-0.0625,France
4910,-0.125,0.0625,0.1875,France
4912,-0.375,-0.3125,0.625,USA
4916,-0.0625,0.25,0.125,France
4917,-0.1875,-0.125,-0.0625,France
4918,0.125,0.1875,0,France
4923,0.125,0.3125,-0.125,France
4928,0.0625,0.125,-0.125,France
4930,-0.125,-0.25,-0.1875,France
4931,-0.3125,0,0.3125,France
4932,0.125,-0.0625,0.4375,France
4936,-0.4375,-0.125,0.3125,France
4937,0.0625,-0.0625,0.125,France
4938,-0.125,0.3125,-0.0625,France
4939,0.1875,0,0.0625,France
4940,0.5625,0.25,-0.25,France
4941,-0.0625,0.3125,-0.3125,France
4942,-0.1875,0.0625,0.3125,France
4943,-0.3125,0.3125,0.125,France
4944,0.0625,-0.1875,0,France
4946,-0.25,0.125,-0.125,France
4947,-0.0625,0.375,0,France
4949,-0.0625,0.125,0.375,France
4950,-0.1875,0,-0.25,France
4951,0.25,0.1875,-0.4375,France
4954,0.3125,0,0,France
4955,-0.1875,0.0625,0.3125,France
4956,-0.0625,0.3125,0.0625,France
4957,0,-0.5,0.3125,France
4958,-0.125,0.0625,-0.125,France
4959,0.125,-0.125,-0.1875,France
4960,0,-0.1875,-0.0625,France
4961,-0.25,-0.0625,-0.125,USA
4963,-0.0625,-0.3125,-0.3125,France
4976,0.125,-0.125,0.0625,France
